concept,source language text,target language text,variations,label
see,What a lovely heart line. I've never seen one like it.,"Wat 'n pragtige hartlyn, ek het nog nie so een gesien nie","['gesien', 'kyk', 'sien']",gesien
see,"Mozart, did you see Martin?","- Mozart, het jy vir Martin gesien?","['gesien', 'kyk', 'sien']",gesien
see,Now you'll see a fragment of his film titled:,Nou kyk ons na 'n fragment van sy:,"['gesien', 'kyk', 'sien']",kyk
see,You gotta see this.,Kom kyk.,"['gesien', 'kyk', 'sien']",kyk
see,I am lucky that the emperor doesn't see me in these clothes.,Ek is gelukkig dat die keiser my nie sien in hierdie klere nie,"['gesien', 'kyk', 'sien']",sien
see,"You see, it was all the fault of the champagne!","Jy sien, dit alles was sjampanje se skuld!","['gesien', 'kyk', 'sien']",sien
see,I can see you're not one of those perfumed prancers in there.,Ek kan sien u is baie anders as die geparfumeerde pronkers daar binne,"['gesien', 'kyk', 'sien']",sien
see,Lawyers see worse things than writers can invent.,Prokureurs sien slegter dinge as wat skrywers kan uitdink,"['gesien', 'kyk', 'sien']",sien
see,"See you soon, and thanks a lot.","Sien julle weer, en baie dankie","['gesien', 'kyk', 'sien']",sien
see,"See you tomorrow, then.",Sien jou dan more.,"['gesien', 'kyk', 'sien']",sien
see,I saw you've had the roof redone.,Ek sien Ma het die dak laat oordoen,"['gesien', 'kyk', 'sien']",sien
see,"Child, she can't see.","Kind, sy kan nie sien nie","['gesien', 'kyk', 'sien']",sien
tell,Tell the principal that your mother came but that with the panic she wasn't able to see him. And with her job...,"Sê vir die hoof, jou ma was hier, maar met al die chaos, kon sy hom nie sien nie","['gesê/sê', 'vertel']",gesê/sê
tell,"I told you, didn't I?","Ek het mos gesê, het ek nie?","['gesê/sê', 'vertel']",gesê/sê
tell,I pay you to do what I tell you.,Ek betaal jou om te doen wat ek jou sê om te doen.,"['gesê/sê', 'vertel']",gesê/sê
tell,Thanks for telling us. Just enough time left for us to leave your house.,"Dankie dat jy ons vertel het, daar is net genoeg tyd vir ons om jou huis te verlaat","['gesê/sê', 'vertel']",vertel
tell,Is there some family secret that prevents you from telling me the truth?,Is daar 'n familiegeheim wat jou verhoed om my die waarheid te vertel?,"['gesê/sê', 'vertel']",vertel
tell,"Now, will you please tell me everything in fullest detail without suppressing anything while I make notes!","Vertel my nou die hele saak haarfyn, moet niks terughou nie. terwyl ek notas maak.","['gesê/sê', 'vertel']",vertel
tell,-I can't tell you.,Ek kan jou nie vertel nie,"['gesê/sê', 'vertel']",vertel
tell,Should we tell him?,Moet ons hom vertel?,"['gesê/sê', 'vertel']",vertel
tell,"You tell me your darkest, most unmentionable secret and I'll tell you mine.","Jy vertel my jou diepste geheim, en ek vertel jou myne","['gesê/sê', 'vertel']",vertel
tell,Why didn't you tell me?,Waarom het jy my nie vertel nie?,"['gesê/sê', 'vertel']",vertel
tell,Monika will tell you about her husband.,Monika sal jou vertel van haar man,"['gesê/sê', 'vertel']",vertel
too,"And me, too!",En ek ook!,"['ook', 'te']",ook
too,"I would have wanted it different, too.",Ek wou dit ook graag anders hê.,"['ook', 'te']",ook
too,I'm doing that too.,Ek doen dit ook,"['ook', 'te']",ook
too,"And your audience knows it, too.",En jou gehoor weet dit ook,"['ook', 'te']",ook
too,At that moment Jesus himself wonders that too.,Jesus self het op daardie moment ook die vraag gevra,"['ook', 'te']",ook
too,"Tell every agent to get to the safe house; FBI, too.","Stuur elke agent na die schuiladres, ook die FBI.","['ook', 'te']",ook
too,Maybe I'm interested too.,Miskien wil ek ook aansluit,"['ook', 'te']",ook
too,Nothing wil be too magnificent for the wife of an artist famed throughout Europe.,Niks gaan te uitspattig wees vir die vrou van 'n kunstenaar wat beroemd is in geheel Europa,"['ook', 'te']",te
