concept,source language text,target language text,variations,label
mean,"-You mean this one, sir?",- Bedoel u hierdie een?,"['bedoel', 'beteken']",bedoel
mean,Zecouk means ...?,"A, Zecouk beteken ...?","['bedoel', 'beteken']",beteken
mean,I was at the hole. I mean the grave.,"- Ek was by die gat, ek bedoel die graf","['bedoel', 'beteken']",bedoel
mean,"- And with the bitch, I mean Marianne.","Hoe weet Pa? En met daardie teef, ek bedoel Marianne","['bedoel', 'beteken']",bedoel
mean,You mean I play badly?,Bedoel jy ek speel sleg?,"['bedoel', 'beteken']",bedoel
mean,Ten candles means you are ten years old today.,Tien kersies beteken jy is tien jaartjies oud,"['bedoel', 'beteken']",beteken
mean,Cheers. Now I know what you mean.,Gesondheid - nou weet ek wat jy bedoel,"['bedoel', 'beteken']",bedoel
mean,"You mean, uh...","U bedoel, hy...","['bedoel', 'beteken']",bedoel
mean,"Just 'cause you want it, doesn't mean it's gonna happen.","Omdat jy dit wil hê, beteken dit nog nie dat dit gaan gebeur.","['bedoel', 'beteken']",beteken
mean,"I mean, ""Oh, no.","Ek bedoel, oh nee, God.","['bedoel', 'beteken']",bedoel
mean,"I said: ""What do you mean?"".","Ek sê toe: ""Wat bedoel jy?""","['bedoel', 'beteken']",bedoel
mean,Mor means mother.,"""Mor"" beteken ""moeder"".","['bedoel', 'beteken']",beteken
mean,"But when they see you, they see the lady of their dreams I mean, the mother they all dreamt about","Maar as hulle u sien, sien hulle die vrou van hulle drome... ek bedoel, die ma waaroor hulle gedroom het","['bedoel', 'beteken']",bedoel
mean,"Majesty, the abandon of the ball will mean... - a break in the peaceful relationships!","Majesteit, as ons nou gaan, beteken dit 'n breuk in die goeie verhoudinge!","['bedoel', 'beteken']",beteken
mean,- What do you mean?,- Wat bedoel jy?,"['bedoel', 'beteken']",bedoel
mean,How do you mean that?,Hoe bedoel u dat?,"['bedoel', 'beteken']",bedoel
mean,That doesn't mean that something has happened.,Dit beteken nie dat iets gebeur het nie,"['bedoel', 'beteken']",beteken
mean,"I assume you mean the Emperor's mother,","Bedoel jy seker die Keiser se moeder,","['bedoel', 'beteken']",bedoel
mean,I dreamt of eggs which means guests.,"Ek het van eiers gedroom, en dit beteken gaste","['bedoel', 'beteken']",beteken
mean,"Which means someone could have manipulated the systems, remotely causing the blowout without triggering any alarms.","Dit beteken dat iemand die stelsel kon manipuleer, die ontploffing van op afstand veroorsaak sonder die alarm te doen afgaan.","['bedoel', 'beteken']",beteken
mean,"I mean, not that...","Ek bedoel, nie dat ek gedink, dat jy, gek was.","['bedoel', 'beteken']",bedoel
mean,"For Jews, he means. He was given the cold shoulder everywhere he went.","Vir Jode bedoel hy, hy is oral maar snaaks aangekyk","['bedoel', 'beteken']",bedoel
mean,"It means ""fennel"".","Dit beteken ""vinkel"".","['bedoel', 'beteken']",beteken
mean,"Between Anna and me it was a question of belonging, if you know what I mean.","Ek en Anna het werklik aan mekaar behoort, as jy weet wat ek bedoel","['bedoel', 'beteken']",bedoel
mean,You mean the writer who should have stayed a sailor.,Jy bedoel die skrywer wat 'n matroos moes gebly het,"['bedoel', 'beteken']",bedoel
mean,I did not mean your money. I meant your manners.,"Ek het nie jou geld bedoel nie, ek bedoel jou maniere","['bedoel', 'beteken']",bedoel
mean,You mean...,Bedoel jy? ...,"['bedoel', 'beteken']",bedoel
mean,- You mean my mother?,- U bedoel my ma?,"['bedoel', 'beteken']",bedoel
mean,You don't understand what the job meant to Marv.,Jy verstaan nie wat die baan vir Marv beteken.,"['bedoel', 'beteken']",beteken
mean,"- I mean, thinking he's Jesus.","- Ek bedoel, om te dink hy's Jesus!","['bedoel', 'beteken']",bedoel
mean,What do you mean you don't care? What kind of voice do you have?,Wat bedoel jy jy gee nie om nie?,"['bedoel', 'beteken']",bedoel
mean,"What do you mean, nothing.","Wat bedoel jy, niks nie?","['bedoel', 'beteken']",bedoel
mean,"I mean, we have warning signs, alarms, fail-safes.","Ek bedoel, ons kry waarskuwing en alarm seine, fout boodskappe.","['bedoel', 'beteken']",bedoel
mean,I didn't mean that...,Ek het dit nie bedoel nie...,"['bedoel', 'beteken']",bedoel
mean,- So what does it mean?,"- So, wat beteken dit?","['bedoel', 'beteken']",beteken
mean,"I mean, without your...",Ek bedoel sonder jou...,"['bedoel', 'beteken']",bedoel
mean,"I do it for you as well I mean, if Pierre is good, so will you be...","Ek doen dit vir u ook, ek bedoel, as Pierre rigting kry, sal dit vir u ook...","['bedoel', 'beteken']",bedoel
mean,"Ah, you mean Monsieur Chopin.",u bedoel Monsieur Chopin! Hoe slim van u!,"['bedoel', 'beteken']",bedoel
mean,If you mean it... I'm very touched.,"As jy dit bedoel, ek is geraak daardeur","['bedoel', 'beteken']",bedoel
mean,"I mean, you're not invited.","Ek bedoel, jy's nie genooi nie","['bedoel', 'beteken']",bedoel
mean,- What does it mean - a nobody?,Wat beteken dit?,"['bedoel', 'beteken']",beteken
mean,Do you mean that I'm alone?,Bedoel jy dat ek alleen is?,"['bedoel', 'beteken']",bedoel
mean,What do you mean here?,Wat bedoel jy; hier?,"['bedoel', 'beteken']",bedoel
mean,"To true immortality, I mean, where the deed lives on, even if the name of its author stays behind.","Ek bedoel ware onsterflikheid, waar die daad bly voortleef, selfs as die naam van die dader verdwyn","['bedoel', 'beteken']",bedoel
mean,"The same make and model that killed Wells, which means you're the one who shot wells and abducted Marie.",Dieselfde makelij en model dat Wells gedood het. Wat beteken dat jy Wells neerschoot en Marie ontvoerde.,"['bedoel', 'beteken']",beteken
mean,What she means by her statement is unclear.,"Wat sy bedoel het, is nie duidelik nie","['bedoel', 'beteken']",bedoel
mean,"No, that's not what I meant.","Nee, dis nie wat ek bedoel nie","['bedoel', 'beteken']",bedoel
mean,"I mean, officially.",Ek bedoel offisieel,"['bedoel', 'beteken']",bedoel
mean,-Cornelis means...,Ek dink wat Cornelis bedoel...,"['bedoel', 'beteken']",bedoel
mean,I didn't mean to!,Ek het dit nie bedoel nie!,"['bedoel', 'beteken']",bedoel
mean,"If we manage, I mean once we're done here, you'll take a train from the east and we'll meet you at the station.","As ons gereed is, ek bedoel as ons hier klaar is, sal jy 'n trein van die ooste neem, en ons sal jou by die stasie ontmoet en ek sal in 'n rooi rok en","['bedoel', 'beteken']",bedoel
mean,"No. That means, yes. Actually, that means, no.","Nee, ek bedoel ja... eintlik beteken dit nee","['bedoel', 'beteken']",bedoel
mean,"I mean, I hope you enjoy your work.","Ek bedoel, ek hoop u geniet u dag se werk","['bedoel', 'beteken']",bedoel
mean,- You mean..?,Bedoel jy..,"['bedoel', 'beteken']",bedoel
mean,"Though, this late probably means it's going to be a rough night.","Hoewel, so laat nog, beteken waarskynlik dat dit 'n swaar nag gaan word.","['bedoel', 'beteken']",beteken
mean,- What d'you mean?,- Wat bedoel jy?,"['bedoel', 'beteken']",bedoel
mean,"Yes, thank God, I am not related with one of them... District Judge Wallenberg. The Germans, I mean.","Ja, dankie dat ek nie verwant is aan hulle nie - nie Regter Wallenberg nie - ek bedoel die Duitsers","['bedoel', 'beteken']",bedoel
mean,"Tony's old case. Yeah. So, what does it mean?","Ja, so wat beteken dit?","['bedoel', 'beteken']",beteken
mean,"If you don't know what that means, it's just... high.","As jy nie weet wat dit beteken nie, dis net ... hoog!","['bedoel', 'beteken']",beteken
mean,"Excuse me, you mean Gauthier Valence?","Verskoon my, bedoel jy Gauthier Valence?","['bedoel', 'beteken']",bedoel
mean,"Oh, you mean me again?","O, u bedoel weer ek?","['bedoel', 'beteken']",bedoel
mean,"That means responsibilities, like conspiracy and confidentiality, but also privileges...","Dit beteken verantwoordelikheid, soos dissipline en vertroulikheid, asook voorregte...","['bedoel', 'beteken']",beteken
mean,"No. That means, yes. Actually, that means, no.","Nee, ek bedoel ja... eintlik beteken dit nee","['bedoel', 'beteken']",beteken
mean,I asked him what he meant by how many.,Ek vra hom wat hy daarmee bedoel,"['bedoel', 'beteken']",bedoel
mean,- You mean I should shut up?,- Jy bedoel ek moet stilbly?,"['bedoel', 'beteken']",bedoel
mean,I know what you meant.,- Ek weet wat jy bedoel.,"['bedoel', 'beteken']",bedoel
mean,Which means what exactly?,- Wat beteken dat eintlik?,"['bedoel', 'beteken']",beteken
mean,What d'you mean?,Wat bedoel jy?,"['bedoel', 'beteken']",bedoel
mean,"We brought the clock, I mean the...",Ons het die horlosie... ek bedoel...,"['bedoel', 'beteken']",bedoel
mean,- I mean what I say.,- Ek bedoel om te sê:,"['bedoel', 'beteken']",bedoel
mean,A tall flame means a long life.,'n Lang vlam beteken 'n lang lewe,"['bedoel', 'beteken']",beteken
mean,- What do you mean together?,"Wat bedoel Pa, saam?","['bedoel', 'beteken']",bedoel
mean,"No, I just meant...","Nee, ek bedoel net...","['bedoel', 'beteken']",bedoel
mean,I believe Christianity means the enhancement of life.,Ek glo Christelikheid beteken die vervolmaking van die lewe,"['bedoel', 'beteken']",beteken
mean,That mean something to you?,- Beteken dat iets vir jou?,"['bedoel', 'beteken']",beteken
mean,"I mean, if he did, then of course I'm glad, but, I mean, he hasn't redeemed himself, has he?","Maar ek bedoel, hy het dit tog nie losgekoop, tog? Prima.","['bedoel', 'beteken']",bedoel
mean,Does he mean it?,Dink jy hy bedoel dit?,"['bedoel', 'beteken']",bedoel
mean,On my world it means hope.,In my wêreld beteken het hoop.,"['bedoel', 'beteken']",beteken
mean,No! Calm down. You know she doesn't mean it.,"Kalmeer, jy weet sy bedoel dit anders","['bedoel', 'beteken']",bedoel
