concept,source language text,target language text,variations,label
lead,This is a training ground where one group is taught to lead and the other is made to follow.,اینجا میدان آموزشی است که در آن یک گروه آموزش رهبری می‌گیرند و بقیه مجبور به پیروی کردن می‌شوند.,"['منجر', 'رهبر/رهبري/رهبری']",رهبر/رهبري/رهبری
lead,"The person more likely to lead is not the physically stronger person; it is the more creative person, the more intelligent person, the more innovative person, and there are no hormones for those attributes.",کسی که بیشتر احتمال میرود که رهبری کند فردی نیست که از لحاظ فیزیکی قویتر است؛ بلکه فرد خلاق‌تر است، فرد باهوش‌تر، فرد نوآورتر، و هورمونی برای این ویژگی ها وجود ندارد.,"['منجر', 'رهبر/رهبري/رهبری']",رهبر/رهبري/رهبری
lead,"as far as we can tell , he leads the group .",، تا جايي که ميدونيم . اون رهبر گروهه .,"['منجر', 'رهبر/رهبري/رهبری']",رهبر/رهبري/رهبری
lead,"he was defeated by the wu ning jun army led by goong bok,",اون از ارتش وونينگجو به رهبري گونگ-بوک شکست خورد,"['منجر', 'رهبر/رهبري/رهبری']",رهبر/رهبري/رهبری
lead,"Even though it is the case that poverty is linked to AIDS, in the sense that Africa is poor and they have a lot of AIDS, it's not necessarily the case that improving poverty -- at least in the short run, that improving exports and improving development -- it's not necessarily the case that that's going to lead to a decline in HIV prevalence.",حتی اگر فقر به ایدز ارتباط داشته باشه به این معنا که آفریقا فقیر است و آنها زیاد ایدز دارند بهبود فقر -- حداقل در کوتاه مدت - بهبود توسعه و بهبود صادرات لزوما منجر به کاهش شیوع اچ آی وی نخواهد شد.,"['منجر', 'رهبر/رهبري/رهبری']",منجر
lead,"This accident of physics might have led to the evolution of longer dinosaur arms, which would let them run faster and even leap short distances through the air.",این واقعیت سادۀ فیزیکی ممکن است منجر به فرآیند فرگشت بازوهای طولانی‎تر شده باشد که به آنها کمک می‌کرده سریع‎تر بدوند و حتی مسافت‌های کوتاهی را در هوا بپرند.,"['منجر', 'رهبر/رهبري/رهبری']",منجر
lead,"Also, even if we were born with certain ignoble motives, they don't automatically lead to ignoble behavior.",دوم، حتی اگر ما با بعضی انگیزه های فرومایه به دنیا بیاییم اون انگیزه ها به طور خودکار به رفتار فرومایه منجر نمی شوند.,"['منجر', 'رهبر/رهبري/رهبری']",منجر
lead,"Getting people to have these meetings, articulate these values, determine to act on them and check in with each other, led to a marked shift in people's values.",جمع کردن مردم در این جلسات، بیان اینگونه ارزش ها، اراده برای عمل کردن به آنها و با دیگران مطرح کردن آنها، منجر به یک تغییر چشمگیر در ارزشهای افراد شد.,"['منجر', 'رهبر/رهبري/رهبری']",منجر
lead,the three laws will lead to only one logical outcome .,سه قانون منجر به پيامد منطقي ميشوند .,"['منجر', 'رهبر/رهبري/رهبری']",منجر
nation,Fascism makes people see themselves as belonging to the most beautiful and most important thing in the world -- the nation.,فاشیسم کاری می‌کند که مردم فکر کنند به زیباترین و مهم‌ترین چیز دنیا تعلق دارند -- ملت.,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
nation,We don't want gangsters and guerrillas funded with illegal drug money terrorizing and taking over other nations.,ما نمی خواهیم گانگستر و چریک ها پولی غیر قانونی موا مخدر را بدست آورند و وحشت ایجاد کنند و افسار ملل دیگر را بدست بگیرند.,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
nation,"But you've got to realize that this world has changed fundamentally, and the problems we have cannot be solved by one nation and one nation alone.",اما شما باید درک کنید که این جهان اساسا تغییر کرده است، و مشکلاتی که الان در جهان هست نمی تواند به تنهائی و توسط یک ملت و یک کشورحل شود.,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
nation,i talked mc donalds out of the mc oyster . and a grateful nation thanks you .,من با مك دونالد بيرون از مك اويستر حرف زدم و يک ملت از شما سپاسگذاري كرد .,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
nation,"the eventual result of which was our nations collapse , .",نتيجه نهائي فروپاشي ملت ما بود .,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
nation,while pleading to me to build a strong nation in my heart.,زماني که به من التماس مي کنيد براي ساخت يک ملت قوي در قلبم,"['کشور/کشورها', 'ملل/ملت/ملتها/ملتی', 'قوم']",ملل/ملت/ملتها/ملتی
study,"Now everybody rushed to criticize the Task Force, even though most of them weren't in anyway familiar with the mammography studies.",حالا همه با عجله به انتقاد ازنیروی موظف پرداختند، گر چه بیشتر آنها با مطالعات ماموگرافی به هیچ طریقی آشنا نبودند.,"['مطالعه\u200cای/مطالعه\u200cی/مطالعات/مطالعاتی', 'تحقیقات/تحقیقی']",مطالعه‌ای/مطالعه‌ی/مطالعات/مطالعاتی
study,"Well, using this criteria and looking at most recent studies, we see that on average, three to eight percent of women suffer from PMDD.",خب، با بکارگیری این مقیاس و نگاه کردن به مطالعات اخیر، مشاهد می کنیم که بطور متوسط سه تا هشت درصد زنان از PMDD رنج می برند.,"['مطالعه\u200cای/مطالعه\u200cی/مطالعات/مطالعاتی', 'تحقیقات/تحقیقی']",مطالعه‌ای/مطالعه‌ی/مطالعات/مطالعاتی
study,"Many studies suggest that, on average, posture is getting worse.",مطالعات زیادی متذکر می شوند که به طور متوسط، حال های بدنی در حال بدتر شدن است.,"['مطالعه\u200cای/مطالعه\u200cی/مطالعات/مطالعاتی', 'تحقیقات/تحقیقی']",مطالعه‌ای/مطالعه‌ی/مطالعات/مطالعاتی
