concept,source language text,target language text,variations,label
my,"Oh, by the way, I make yellowcake in my garage, so my nuclear program is as advanced as the Iranians.","O, e tamén produzo óxido de uranio no meu garaxe, así que o meu programa nuclear é tan avanzado coma o iraní.","['meu/meus', 'miña/miñas']",meu/meus
my,"Now, my breakthrough came in a very unlikely place, possibly the most unlikely place for innovation -- my high school biology class, the absolute stifler of innovation.","O meu achado chegou nun lugar insólito, no lugar menos probable para a innovación: a clase de bioloxía de secundaria, o inhibidor absoluto da innovación.","['meu/meus', 'miña/miñas']",meu/meus
my,"In particular, in my lab in the Department of Brain and Cognitive Sciences at MIT, I have spent the past decade trying to understand the mystery of how children learn so much from so little so quickly.","En concreto, no meu laboratorio no Dpto. de Cerebro e Ciencias Cognitivas, no MIT, pasei a última década intentando entender o misterio de por que os nenos aprenden tanto, a partir de tan pouco, e tan rápido.","['meu/meus', 'miña/miñas']",meu/meus
my,"For years, I tried desperately to cultivate in my kids a love of reading.","Durante anos, tratei desesperadamente de cultivar nos meus nenos","['meu/meus', 'miña/miñas']",meu/meus
my,My doctor asked if I'd like to speak with a mental health professional about my stress and anxiety.,O meu doutor preguntoume se quería falar cun profesional da saúde mental sobre o meu estrés e a miña ansiedade.,"['meu/meus', 'miña/miñas']",meu/meus
my,"And then I'll get to do my cookbook.""","E logo farei o meu libro de cociña""","['meu/meus', 'miña/miñas']",meu/meus
my,And I referenced that at the end of my last talk.,E eu fixen referencia ao tema cara a fin do meu discurso,"['meu/meus', 'miña/miñas']",meu/meus
my,"People would come over to talk to my grandparents, and after they would leave, my mother would come over to us, and she'd say, ""Do you know who that was?","A xente viña á casa a falar cos meus avós e despois de marchar, a miña nai achegábase a nós, e dicía: ""Sabedes quen era?","['meu/meus', 'miña/miñas']",miña/miñas
my,My mother was an administrator.,A miña nai era administradora.,"['meu/meus', 'miña/miñas']",miña/miñas
my,This could be my little assessment.,Esta podería ser a miña breve valoración.,"['meu/meus', 'miña/miñas']",miña/miñas
can,I'd like to talk today about how we can change our brains and our society.,Hoxe gustaríame falar sobre como podemos cambiar os nosos cerebros e a nosa sociedade.,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",podedes/podemos
can,But it turned out that we can actually get sleep at a much more important level.,Pero resultou que podemos chegar a ver o sono nun nivel moito máis importante.,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",podedes/podemos
can,And how -- (Applause) And how can we empower survivors if we're making them feel less than?,E como -- (Aplausos) E como podemos axudar ás vítimas se facemos que se sintan inferirores?,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",podedes/podemos
can,So my second dream is that I think we can look to the next 30 years as a time to change the food system again.,Así que o meu segundo soño é que creo que podemos mirar os próximos 30 anos como un prazo para cambiar outra vez o sistema alimentario.,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",podedes/podemos
can,"I can't do anything to save the world.""","Non podo facer nada para salvar o mundo.""","['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",poderemos/podes/podo
can,Putting a sticker over your web cam is probably the best thing you can do for your privacy in terms of bang for buck.,Poñer unha pegatina na cámara web é posiblemente o mellor que podes facer pola túa privacidade en termos de prezo-calidade.,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",poderemos/podes/podo
can,How can it be that this thought in my brain can move material objects?,Como pode ser que un pensamento no meu cerebro poida mover obxectos materiais?,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",poida/poidamos/poidan
can,So we're talking about at least a year until there's vaccine available that can be used in many populations.,Así que terá que pasar polo menos un ano ata que haxa unha vacina dispoñible que as distintas poboacións poidan usar.,"['podedes/podemos', 'poderemos/podes/podo', 'poida/poidamos/poidan']",poida/poidamos/poidan
