concept,source language text,target language text,variations,label
man,"That's right, sand man keep walking.","यह सही है, रेत आदमी... ... चलते रहो.","['आदमी', 'पुरुष']",आदमी
man,The man who passes the sentence should swing the sword.,जो आदमी की सजा गुजरता तलवार स्विंग चाहिए।,"['आदमी', 'पुरुष']",आदमी
man,I always knew never to trust a man who doesn't care about money!,मैं हमेशा पैसे के बारे में परवाह नहीं है जो एक आदमी भरोसा करने के लिए कभी नहीं पता था!,"['आदमी', 'पुरुष']",आदमी
man,"I'm just playing, man.",मैं सिर्फ आदमी खेल रहा हूँ.,"['आदमी', 'पुरुष']",आदमी
man,"You've got some serious balls, man.","आप कुछ गंभीर गेंदों, आदमी मिल गया है.","['आदमी', 'पुरुष']",आदमी
man,"That was a great shot, man.","यही कारण है कि एक महान शॉट, आदमी था।","['आदमी', 'पुरुष']",आदमी
man,"I have been basically spending the last few years documenting the efforts of some extremely intrepid men and women who are putting, literally at times, their lives at stake working in some very remote and very hostile places so that they may gather the faintest signals from the cosmos in order for us to understand this universe.","वस्तुतः पिछले कुछ वर्षो से मैं व्यस्त था उन प्रयासो के अभिलेखन में जो कुछ अति वीर पुरुष एवं महिलाएँ अंजाम तक पहुँचा रहे थे, कभी कभी, अपनी जान पर खेलकर वह दुर्गम एवं कठिनाई भरे स्थानों पर काम कर रहे थें ताकि वह बह्माण्ड से प्राप्त होने वाले सूक्ष्मत्तम संकेतो को ग्रहण कर सके जिससे हम ब्रह्माण्ड को समझ सके ।","['आदमी', 'पुरुष']",पुरुष
man,It's totally cool for men to follow me when I talk about guy stuff and I conform to gender norms.,पुरुषों का मेरा अनुयायी बनना जब मैं पुरुषों की चीज़ों की बात करूँ और मैं लिंग आदर्शों के अनुरूप चलूँ एकदम मस्त है।,"['आदमी', 'पुरुष']",पुरुष
man,"For example, a woman is supposed to kneel down for a man.","उदाहरण के लिए, ऐसा माना जाता है कि एक महिला को पुरुष के सामने झुक कर रहना चाहिए.","['आदमी', 'पुरुष']",पुरुष
use,"She replied, I also know about [sanitary pads], but myself and my sisters, if they start using that, we have to cut our family milk budget.","उसने कहा,""मैं भी सैनिटरी पैड के बारे में जानती हूँ, पर अगर मैं और मेरी बहनें उनका इस्तेमाल करने लगीं, तो महीने के दूध का ख़र्च काटना पड़ेगा.","['इस्तेमाल', 'प्रयोग', 'उपयोग']",इस्तेमाल
