concept,source language text,target language text,variations,label
student,"You know, during the Tunisian revolution, snipers associated with the regime were killing unarmed students in the street.",チュニジア革命においては 政権側の狙撃兵が路上の非武装の 学生を殺害していました,"['生徒', '学生']",学生
student,Student debt is profitable.,学生の借金は儲かるんです,"['生徒', '学生']",学生
student,"For instance, all of you students here pay roughly the same tuition for every major.",例えば 学生達はどの学部でも 大体同じ学費を払っています,"['生徒', '学生']",学生
student,"I'm a geophysicist, and all my Earth science books when I was a student -- I had to give the wrong answer to get an A.",私が地球科学者で、学生時代の科学の本によれば 成績でAを取るには間違った答えを書かなくてはなりませんでした,"['生徒', '学生']",学生
student,"And at the end of the course, these students were compared with a control group of their fellow medical students.",講座の終わりに これらの学生を 対照群となる他の同級医学生たちと 比較したところ,"['生徒', '学生']",学生
student,"So what he's been doing is going around to this graduate students and saying to his graduate students, ""Build me life but don't use any modern chemicals or instruments.",そこで 彼は修士課程の学生に こう言っています 「生命を作ってくれ でも現代的な化学薬品や装置は使うな,"['生徒', '学生']",学生
student,"But when I talked to my students about why they liked these comics lectures so much, I began to understand the educational potential of comics.",しかし 生徒に なぜそんなに 漫画での授業が良いのかを尋ねてみたところ 教育において漫画が秘める力が 見えてきました,"['生徒', '学生']",生徒
student,"We also surveyed that. Seventy-eight percent of the middle and high school teachers in America have been threatened by their students with violating their rights, with lawsuits by their students. They are threatening, their students.",調査によればアメリカの中学高校の教師の78パーセントは 生徒たちの権利を侵害したとして 裁判にすると脅されたことがあるのです 生徒を脅したと訴えられるのです,"['生徒', '学生']",生徒
design,"And this is a photo now, it's not a rendering, and the column that we ended up with after a lot of work, ended up looking remarkably like the one that we had designed in the computer.",これは実際の写真です CGではありません 多くの手間をかけて 完成した実際の円柱と コンピューターで デザインした円柱は 驚くほど似ていました,"['設計', 'デザイン']",デザイン
design,"My instinct tells you that any improvement would be rather slight, because they were designed as functions of the system they were designed to fit, and as I said, type is very adaptable.",私の直感では よくなったとしても わずかでしょう なぜなら これらの書体は システムに合わせて デザインされたもので 活字は それに適応するからです,"['設計', 'デザイン']",デザイン
design,I've designed too many faces in the past that were intended to mitigate technical problems.,私はこれまで技術的な問題を 解決するために 書体をたくさんデザインしたし,"['設計', 'デザイン']",デザイン
design,"But what is really hard about designing at scale is this: It's hard in part because it requires a combination of two things, audacity and humility — audacity to believe that the thing that you're making is something that the entire world wants and needs, and humility to understand that as a designer, it's not about you or your portfolio, it's about the people that you're designing for, and how your work just might help them live better lives.",しかし 規模が大きなデザインの 本当に難しい点とは何でしょうか 難しい部分は ２つの組み合わせで 「大胆さ」と「謙虚さ」です 大胆さとは 全世界が欲して 必要とする何かを 作っていると信じることです そして 謙虚さとは デザイナーとして 自分や自分の作品集のためではなく 誰かのためにデザインすること また デザインを通じて 人々の暮らしを いかに良くするかということです,"['設計', 'デザイン']",デザイン
design,"So I've teamed up with roboticist Rob Wood at Harvard University, and we've been designing squishy underwater robot fingers, so we can delicately interact with the marine life down there.",だからハーバード大学の ロボット研究家ロブ・ウッドと協力して 柔軟な水中ロボットの指を 設計しました これで水中生物を 優しく扱うことができます,"['設計', 'デザイン']",設計
design,We've also designed new proteins to break down gluten in your stomach for celiac disease and other proteins to stimulate your immune system to fight cancer.,他にもセリアック病のための 胃中のグルテン を分解する新しいタンパク質や 癌と戦うための免疫系を刺激する タンパク質などを設計しています,"['設計', 'デザイン']",設計
foot,"It started out like this: it's just a four-foot by five-foot plywood board in an inner-city urban school, 1978.",“世界平和ゲーム”です。 概略はただの縦4フィート、横5フィートのベニヤ板の中に 1978年の小さな都市学校があるわけです。,"['足/足元', 'フィート/m/メートル']",フィート/m/メートル
foot,The largest is about four tons and 12 feet across.,最も大きいものは４トンで 3.6メートルほどの大きさがあります,"['足/足元', 'フィート/m/メートル']",フィート/m/メートル
foot,"Now I would argue, actually, if you look at the fact that on the highways today, you're only averaging about 30 miles per hour -- on average, according to the DOT -- the Skycar travels at over 300 miles an hour, up to 25,000 feet.","運輸省によると、現在ハイウェイでは 平均30マイル時でしか 流れていないそうです。 スカイカーは300マイル時で 25,000フィートまで飛ぶことができます。","['足/足元', 'フィート/m/メートル']",フィート/m/メートル
foot,"That's equal to 20 feet of sea level, as is Greenland.",グリーンランドと同じく、海水面にして約6メートルです,"['足/足元', 'フィート/m/メートル']",フィート/m/メートル
foot,"So far, they've packed up about 4,500 feet of ice cores for shipment back to the United States.",これまでのところ 彼等は およそ1500メートルの長さの氷床コアを 米国に送るために梱包しました,"['足/足元', 'フィート/m/メートル']",フィート/m/メートル
foot,"And there I was awarded ""Best in the World in Medicine,"" which allowed me to get in, or at least get a foot in the door of the big medical world.",私は医学分野の最優秀賞を受賞しました おかげで私は大きな医学界に加わり 少なくとも足がかりを得ることができました,"['足/足元', 'フィート/m/メートル']",足/足元
foot,"You can do another experiment where you can take a cockroach with a foot, and you can remove its foot.",ゴキブリでも実験することが出来ます。足から一節 もいで見ることが出来ます,"['足/足元', 'フィート/m/メートル']",足/足元
foot,"Like God didn't save all this breath and mercy, like my blood is not the wine that washed over Jesus' feet.",この全ての魂や憐れみを 神が救わなかったように 私の血がキリストの足を洗う ワインではないように,"['足/足元', 'フィート/m/メートル']",足/足元
foot,"And when I was done, he actually offered me his shirt to wipe off my feet and kindly walked me out.",撮影が終わった時 彼は自分のシャツを差し出し 足を拭いていいと言い 親切に送り出してくれました,"['足/足元', 'フィート/m/メートル']",足/足元
foot,The entire planet is rotating beneath my feet.,地球の全てが 僕の足元で 回っている,"['足/足元', 'フィート/m/メートル']",足/足元
state,"Most education funding -- whether it's K through 12, or the great universities or community colleges -- most of the money for those things is coming out of these state budgets.",教育資金のほとんどが― 幼稚園から小六までであろうと 名門大学や地域の短期大学であろうと これらの資金のほとんどが 州予算からきています,"['州', '状態']",州
state,"The reasons vary state to state, but mostly in the details.",州ごとに原因は違いますが 大体は細かな点です,"['州', '状態']",州
state,"Originally proposed in 1923, the Equal Rights Amendment would guarantee gender equality under the law, and much like Title IX on campus, that constitutional amendment could require states to intervene and address gender violence as a prohibitive form of sex discrimination.",1923年に初めて提案された 「男女平等憲法修正条項」は 法の下の男女平等を保障するもので 大学でのTitle IXに類似して 性差別を禁止する法律として この憲法の修正条項によって 州に 性暴力への介入と取組を 命じることが可能になります,"['州', '状態']",州
state,"We mixed different development prototypes and said they're going to carry us through the year 2050, 10 million new crew in our state of California.",様々な開発のプロトタイプを混合してみて 2050年までそのモデルを継続し １千万人が新たにカリフォルニア州の 人口に加わると仮定しました,"['州', '状態']",州
state,"But some states have already implemented them, and we're pushing for reform all across the country, because until we reform forfeiture, this is something that could happen to any of us.",一方 すでに改革を実施した州もあります 我々は全国で改革を推進しています なぜなら 没収制度が改革されるまでは 没収は誰にでも起こりうることだからです,"['州', '状態']",州
state,"Well, we believe, again, that this should be the beginning, the very first step, to do real conservation, and allowing us to really explore and to understand everything related to the state of our conservation, the technique, materials, and also if, when, and why we should restore, or, rather, to intervene on the environment surrounding the painting.",これは作品保存の あるべき姿に向けた 最初の一歩だと考えています 私たちがカルテによって 深く研究し 理解できるのは 保存状態や技法 素材に関わる あらゆることです さらに 修復は必要か 作品を取り巻く環境に手を加えるべきか その時期や理由について 理解することができるのです,"['州', '状態']",状態
state,We thought that the physical states of their body might change how they perceived the distance.,私達は 身体の状態が 推測した距離に影響すると思いました,"['州', '状態']",状態
state,"One misconception is that fire is a plasma, the fourth state of matter in which atoms are stripped of their electrons.",ある思い違いは 火はプラズマであるというものです プラズマとは原子が電子を失った 物質の４つ目の状態です,"['州', '状態']",状態
state,But it turns out that the kind of stress we experience and whether we're able to stay in a relaxed state long enough to keep our bodies working properly depends a lot on who we are.,でも どんな種類のストレスを 経験するかということや リラックスした状態を 十分長く保って 体調をきちんと 整えられるかどうかは 人によって 大きく異なります,"['州', '状態']",状態
state,So what we've learned is that our state of discord is bad for everyone.,ここで学んだのは 不和の状態は 誰の得にもならないと言うことです,"['州', '状態']",状態
mile,"Do we have a local God who can do little things like parking spaces, but not big things like 500 mile-per-hour waves?",私たちの神は地元の主で 駐車場はどうにかできても 時速800kmクラスの波には無力だとでも言うのでしょうか？,"['キロメートル/km', 'マイル']",キロメートル/km
mile,"Able to exert over 300 lbs. of pressure in one bone-crushing bite and sniff out prey more than a mile away, these formidable predators didn’t have much competition.",噛む力は130kg以上 骨なんか簡単に噛み砕くし １km先の獲物のにおいを キャッチすることもできます この恐るべき捕食者にかなう相手は ほとんどいませんでした,"['キロメートル/km', 'マイル']",キロメートル/km
mile,"59,999 miles that are basically bringing nutrients and taking waste away.","あとの59,999マイルは 栄養を運び 老廃物を運び出しています","['キロメートル/km', 'マイル']",マイル
mile,"He lived in Paris, and he set up two experimental stations, roughly 5.5 miles distant, in Paris.",２つの実験施設を 約5.5マイル離れたところに 作りました,"['キロメートル/km', 'マイル']",マイル
mile,"But if you charge 60 cents a mile, you're a criminal.",もし１マイル60セント請求すると 犯罪になるのです,"['キロメートル/km', 'マイル']",マイル
mile,I skied the equivalent of 31 marathons back to back. 800 miles in 10 weeks.,僕は３１回のマラソンを連続して走るのと同じだけの距離を スキーで走りました。１０週間で８００マイルです,"['キロメートル/km', 'マイル']",マイル
together,"In 2015, China announced the creation of the Asian Infrastructure Investment Bank, which together with a network of other organizations aims to construct a network of iron and silk roads, stretching from Shanghai to Lisbon.",中国は2015年に アジアインフラ投資銀行の 発足を宣言しましたが これにより他の組織と共同で 上海からリスボンにまたがる 「鉄のシルクロード」のネットワークを 構築しようとしています,"['共同/共有', '合わせる', '組み合う/組み合わせる']",共同/共有
together,"Together with MIT, we developed a program that predicts how we can navigate the wind highways.",MITと共同で 風のハイウェイでの 航行予測を行う プログラムを開発しました,"['共同/共有', '合わせる', '組み合う/組み合わせる']",共同/共有
together,"And when we come together and work as one, we can achieve extraordinary things.",皆の力を一つに合わせれば 途方もない偉業を 成し遂げることができます,"['共同/共有', '合わせる', '組み合う/組み合わせる']",合わせる
together,"He blushed, told her of his crush: “The best thing that never happened because it led to us.” 61 was clever, see, not prone to jealousy, She looked him in the eyes and told him quite tenderly, ""You’re 59, I’m 61, together we combine to become twice what 60 could ever be.""",彼は顔を赤らめ かつての恋心を打ち明けた 「ああなって良かったんだ 僕たちが出会えたからね」 61は賢明だった 嫉妬にとらわれることもなく 彼の目を見て とても優しく諭した 「君は59で私は61 二人合わせると60の２倍になるの」,"['共同/共有', '合わせる', '組み合う/組み合わせる']",合わせる
together,"Then I thought, what if I could play with a computer -- together with a computer at my side, combining our strengths, human intuition plus machine's calculation, human strategy, machine tactics, human experience, machine's memory.",そこで考えました コンピュータと一緒に戦うなら — コンピュータを味方にして 力を合わせることができたとしたら？ 人間の直感力と コンピュータの計算能力 人間の戦略と コンピュータの戦術 人間の経験と コンピュータの記憶力,"['共同/共有', '合わせる', '組み合う/組み合わせる']",合わせる
together,"And we can aggregate them together and make literally thousands and thousands of really big nano-molecular molecules the same size of DNA and proteins, but there's no carbon in sight.",これらを組み合わせ まさに数百数千の DNAやタンパク質と同じ大きさの ナノ分子を つくることができます しかし 炭素は含みません,"['共同/共有', '合わせる', '組み合う/組み合わせる']",組み合う/組み合わせる
together,"So this is not a playlist or a list of songs intended for the park, but rather an array of distinct melodies and rhythms that fit together like pieces of a puzzle and blend seamlessly based on a listener's chosen trajectory.",ですから プレイリストや従来のアルバムとは違い この公園でしか体験できない音楽です これはリスナーの移動に合わせて 個々のメロディーやリズムが パズルのピースを組み合わせるように 継ぎ目なくブレンドされます,"['共同/共有', '合わせる', '組み合う/組み合わせる']",組み合う/組み合わせる
together,"So, they got the frames from these big bikes, put them together with the gears from the racing bikes, got the brakes from motorcycles, and sort of mixed and matched various ingredients.",それで 大きな自転車からフレーム レース用自転車からは変速機 バイクからブレーキを持ってきて それらを組み合わせたのです,"['共同/共有', '合わせる', '組み合う/組み合わせる']",組み合う/組み合わせる
