concept,source language text,target language text,variations,label
now,"Now, it may sound as though I'm about to preach atheism, and I want to reassure you that that's not what I'm going to do.","Tagad varētu izklausīties, ka es sludinu ateismu, bet es vēlos jūs nomierināt, ka tas nav tas, ko darīšu.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,"We are now the superstars of our generation, for our people.","Tagad mēs esam savas paaudzes, savas tautas superzvaigznes.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,"But now we want our partner to still give us all these things, but in addition I want you to be my best friend and my trusted confidant and my passionate lover to boot, and we live twice as long.","Taču tagad mēs vēlamies, lai partneris mums sniedz visu to, taču papildus tam es vēlos, lai esi mans labākais draugs, mana uzticības persona un kaislīgs mīlnieks, un mēs dzīvojam divtik ilgi.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,"So now, several hundred of these walking meetings later, I've learned a few things.","Tā nu tagad, pēc vairākiem simtiem šīm pastaigu sarunām, esmu šo to iemācījusies.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,"I'd like to have a little rummage in there with you now and just pull a few tools out that you might like to take away and play with, which will increase the power of your speaking.","Es vēlētos ar jums tur tagad nedaudz parakņāties un izvilkt dažus ieročus, ko jūs varētu sev paņemt līdzi un iemēģināt un kas padarīs jūsu runu spēcīgāku.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,And now their range is shattered into little shards.,Tagad to izplatības apgabali ir saskaldīti mazos gabaliņos.,"['pašlaik', 'šobrīd', 'tagad']",tagad
now,"Is one of the motivations for the tunneling project the realization that actually, in a world where cars are electric and where they're self-driving, there may end up being more cars on the roads on any given hour than there are now?","Vai daļēji tuneļu projekta motivācija nav patiesībā apjausma, ka pasaulē, kurā auto ir elektriski un brauc paši, uz ielām varētu būt vairāk mašīnu, nekā ir tagad?","['pašlaik', 'šobrīd', 'tagad']",tagad
now,"These two projects now have online databases that are allowing people to submit data, and this is converted into very interactive websites that the public can consume and make decisions from.","Abiem projektiem tagad ir interneta datubāzes, kas cilvēkiem ļauj iesūtīt datus, un tie pārtop interaktīvās mājaslapās, ko sabiedrība var izmantot lēmumu pieņemšanai.","['pašlaik', 'šobrīd', 'tagad']",tagad
now,Now compare that with real price increments.,Tagad salīdziniet to ar patiesajām cenu svārstībām.,"['pašlaik', 'šobrīd', 'tagad']",tagad
can,"(Laughter) Complexity is the problem that any theory of biology has to solve, and you can't solve it by postulating an agent that is even more complex, thereby simply compounding the problem.","(Smiekli) Sarežģītība ir problēma, kas jārisina katrai bioloģijas teorijai, un to nevar atrisināt atrodot aģentu, kas ir vēl sarežģītāks, tādējādi vēl vairāk padziļinot problēmu.","['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",nevar/nevaram/nevaru
can,"One of the interesting things about invisibility is, the things that we can's see, we also can't understand.","Viena no interesantākajām neredzamības iezīmēm ir, ka to, ko neredzam, mēs nevaram arī izprast.","['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",nevar/nevaram/nevaru
can,"The standard measure of a food's spiciness is its rating on the Scoville scale, which measures how much its capsaicin content can be diluted before the heat is no longer detectable to humans.","Ēdiena asumu parasti mēra pēc Skovila skalas, kas nosaka, cik ļoti tajā esošo kapsaicīna saturu var atšķaidīt, pirms cilvēki to vairs nevar sagaršot.","['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",nevar/nevaram/nevaru
can,"But I cannot participate, I cannot go to umunna meetings, I cannot have a say.","Taču es nevaru piedalīties, es nevaru iet uz <i>umunna</i> sanāksmēm, es nevaru paust savu viedokli.","['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",nevar/nevaram/nevaru
can,"Our information is so peculiar in detail, so that cannot be searched as others can be searched.",Mūsu informācija sīkumos ir tik īpatnēja tādēļ to nevar meklēt tāpat kā citu informāciju.,"['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",nevar/nevaram/nevaru
can,"You see, there are facilities now that can actually capture that methane and generate power, displacing the need for fossil fuel power, but we need to be smart about this.","Tagad ir iekārtas, kas patiesībā spēj uztvert šo metānu un ražot elektrību, aizstājot vajadzību pēc degizrakteņu enerģijas, taču mums jārīkojas gudri.","['nevar/nevaram/nevaru', 'spēj/spējam', 'varam/vari/varu']",spēj/spējam
