concept,source language text,target language text,variations,label
could,"(Applause) Okay. The point is it's really hard to tell, isn't it? It's incredible, we looked at students do this and they couldn't tell.","(Aplausi) Labi. Lieta tāda, ka to tiešām ir grūti pateikt, vai ne? Tas ir neticami, mēs apskatījām studentus to darot un viņi nevarēja pateikt.","['nevarēja/nevarēju', 'varēja/varēju/varu']",nevarēja/nevarēju
could,"And I recognized him, but I couldn't place from where, and before I knew it, this young man was hugging me.","Es viņu pazinu, bet nevarēju īsti atcerēties, no kurienes. Un, pirms es attapos, viņš jau bija mani apkampis","['nevarēja/nevarēju', 'varēja/varēju/varu']",nevarēja/nevarēju
could,I could even search for any information by myself.,Es pat varēju pati meklēt jebkādu informāciju.,"['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"I could picture them as real in my mind, and there I run it, test it and improve it.","Es tos varēju iztēloties gluži kā īstus savā prātā, un tur es tos darbināju, pārbaudīju un uzlaboju.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"So I could, sort of, change the kind of stability with a little control there on the dial, and I can sort of watch it flip around.",Tā nu es izmainīju tik pierasto nekustīgumu ekrānā un ar vienkāršu darbību varēju apskatīt kā tas kustas.,"['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"It would take a long while to explain how a soul could be the kind of thing that could be washed, but Rattray knew that this was religion because souls were in play.","Tas prasītu daudz laika — paskaidrot, kā dvēsele varēja būt mazgājama. Bet Retrijs zināja, ka tā ir reliģija, jo bija iesaistītas dvēseles.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"And it was a time when a guy who, kind of, could cross the two sides -- it was a good time.","Tas bija laiks, kad varēja nošaut divus zaķus ar vienu šāvienu. Tas bija labs laiks.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"They used to get great apartments in the center of town, casual sex on tap, and they could travel to the West very freely, which was a great luxury at the time.","Viņi dabūju lielus dzīvokļus pilsētas centrā, seksu, kad vien to vēlējās. Kā arī viņi varēja brīvi doties uz rietumiem, kas tolaik bija liela greznība.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"It would take a long while to explain how a soul could be the kind of thing that could be washed, but Rattray knew that this was religion because souls were in play.","Tas prasītu daudz laika — paskaidrot, kā dvēsele varēja būt mazgājama. Bet Retrijs zināja, ka tā ir reliģija, jo bija iesaistītas dvēseles.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"And I'm a very nerdy doctor, so I read all of the studies that I could on this drug. I read the one study that was published that showed that reboxetine was better than placebo, and I read the other three studies that were published that showed that reboxetine was just as good as any other antidepressant, and because this patient hadn't done well on those other antidepressants, I thought, well, reboxetine is just as good. It's one to try.","Tas ir antidepresants. Es esmu ļoti nūģīgs ārsts, tāpēc es izlasīju visus pētījumus, kurus es varēju atrast par šīm zālēm. Es izlasīju vienu pētījumu, kas tika publicēts un parādīja, ka reboksetīns ir labāks par placebo, un es izlasīju pārējos 3 publicētos pētījumus, kas parādīja, ka reboksetīns ir tikpat labs kā jebkurš cits antidepresants, un tādēļ, ka manam pacientam nebija palīdzējuši pārējie antidepresanti, es nodomāju, ka reboksetīns varētu būt vienlīdz labs variants, kuru pamēģināt.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"This led to me writing ""The Vagina Monologues,"" which led to me obsessively and incessantly talking about vaginas everywhere I could.","Tas mani noveda pie ""Vagīnas monologu"" rakstīšanas, kas noveda pie tā, ka visur, kur varēju, es pārņemta un vienā laidā runāju par makstīm.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"There was a time, when I was a boy, when you could get any kind of telephone service you wanted, as long as it came from Ma Bell.","Kad biju zēns, bija laiks, kad varēja saņemt pakalpojumus no kāda tālruņu sakaru uzņēmuma vēlies, ja vien šis uzņēmums bija Ma Bell.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"I learned I couldn't explain a play on a chalkboard like a coach does, but I could use a plastic tray and some bottle caps so they could follow me by way of touch.","Es sapratu, ka nevaru skaidrot spēli uz tāfeles, kā to dara treneri, bet varu izmantot paplāti un pudeļu korķīšus, lai viņi spētu sekot ar pieskārienu.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"Then I went down and I read several versions, and I wrote down every single law that I could find.","Tā nu sāku lasīt dažādas versijas un izrakstīju katru noteikumu, ko varēju atrast.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"But with this project, we see that Russia could have had a different history and a democratic future, as any other country could or still can.","Bet, pateicoties šim projektam, redzam, ka Krievijas vēsture varēja būt citāda, tās nākotne tāpat kā jebkurai valstij varēja un var būt demokrātiska.","['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,It could learn a pattern. It could remember a pattern.,Tas varēja iemācīties paraugu. Tas varēja atcerēties paraugu.,"['nevarēja/nevarēju', 'varēja/varēju/varu']",varēja/varēju/varu
could,"Anyway, so I couldn't tell him any of that.","Jebkurā gadījumā, es nevarēju viņam neko tādu teikt.","['nevarēja/nevarēju', 'varēja/varēju/varu']",nevarēja/nevarēju
