concept,source language text,target language text,variations,label
new,"Ems can actually move around the world at the speed of light, and by moving to a new location, they can interact more quickly with ems near that new location.","EMS కాంతి వేగంతో ప్రపంచంలో కదలగలవు కొత్త ప్రదేశానికి వెళ్ళిన తరువాత, వేగంగా ఇంకొక EM తొ, కలిసిపోగలవు","['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
new,India and Iran are not new friends.,"భార‌త్‌, ఇరాన్ కొత్త మిత్రులేమీ కావు.","['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
new,"You must try new places, new experiences and new skills.","కొత్త ప్రదేశాలు, కొత్త అనుభవాలు, కొత్త ప్రతిభ కోసం ప్రయత్నించండి.","['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
new,"New places, new cities, new towns, new villages, new areas.","కొత్త కొత్త ప్రదేశాలూ, కొత్త కొత్త ఊర్లు, కొత్త కొత్త పట్టణాలు, కొత్త కొత్త పల్లెలు, కొత్త కొత్త ప్రాంతాలు చూడండి.","['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
new,"In Central Asia too, we have built our ties on the edifice of shared history and culture to unlock new vistas of prosperous partnership.","అలాగే మధ్య ఆసియాలో కూడా చరిత్ర, సంస్కృతి నేపథ్యంలో కొత్త అభిప్రాయాలతో సంపన్న భాగస్వామ్యం కోసం సంబంధాలను బలోపేతం చేసుకున్నాము.","['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
new,We will explore new areas like a sustainable Blue Economy.,సముద్ర సంబంధ ఆర్థిక వ్యవస్థ వంటి కొత్త రంగాల్లో సుస్థిర అభివృద్ధికి మేం అ వకాశాలు అన్వేషిస్తాం.,"['ఢిల్లీ', 'కొత్త', 'నూతన/నూత\u200cన', 'న్యూ/న్యూఢిల్లీలో/న్యూయార్క్', 'సరికొత్త/స\u200cరికొత్త']",కొత్త
his,He had this incredible ability to mould conditions in his favour.,ఆ విధంగా పరిస్థితులను తనకు అనుకూలంగా మార్చుకోగల అపురూపమైన సామర్థ్యం ఆయనకు ఉంది.,"['ఆయన/ఆయ\u200cన/ఆయనకు/ఆయ\u200cన\u200cకు', 'అతని', 'తాను/తన/త\u200cన']",ఆయన/ఆయ‌న/ఆయనకు/ఆయ‌న‌కు
his,"The Prime Minister, Shri Narendra Modi, has paid tributes to Dr. Syama Prasad Mookerjee on his birth anniversary.",ప్రధాన మంత్రి శ్రీ నరేంద్ర మోదీ ఈ రోజు డాక్టర్ డాక్టర్ శ్యామ ప్రసాద్ ముఖర్జీ జయంతి సందర్భంగా ఆయనకు శ్రద్ధాంజలి ఘటించారు.,"['ఆయన/ఆయ\u200cన/ఆయనకు/ఆయ\u200cన\u200cకు', 'అతని', 'తాను/తన/త\u200cన']",ఆయన/ఆయ‌న/ఆయనకు/ఆయ‌న‌కు
his,"Besides, he said in his note to give you some money to buy a radio, whatever the hell that means.","పాటు, అతను మీరు ఒక రేడియో కొనుగోలు కొన్ని డబ్బు ఇవ్వాలని తన నోట్ లో తెలిపారు, అనగా సంసార నరకం.","['ఆయన/ఆయ\u200cన/ఆయనకు/ఆయ\u200cన\u200cకు', 'అతని', 'తాను/తన/త\u200cన']",తాను/తన/త‌న
his,"Reiterating his vision of a New India by 2022, when we mark 75 years of freedom, the Prime Minister urged the teaching community to devote the coming four years towards fulfilling the dreams and vision of those who gave their lives for our freedom.","స్వాతంత్ర్యం సిద్ధించి 75 సంవ‌త్స‌రాలు అయ్యే 2022వ సంవ‌త్స‌రానిక‌ల్లా ఒక ‘న్యూ ఇండియా’ ను ఆవిష్క‌రించాల‌న్న త‌న దార్శ‌నిక‌త‌ ను ప్ర‌ధాన మంత్రి పున‌రుద్ఘాటిస్తూ, మ‌న దేశ స్వాతంత్య్రం కోసం ప్రాణ స‌మ‌ర్ప‌ణ చేసిన వారి క‌ల‌ల‌ను మ‌రియు దార్శ‌నిక‌త ను నెర‌వేర్చే దిశ గా రానున్న నాలుగు సంవ‌త్స‌రాల‌లో తమను తాము అంకితం చేసుకోవలసిందిగా ఉపాధ్యాయ స‌ముదాయానికి ప్ర‌ధాన మంత్రి విజ్ఞ‌ప్తి చేశారు.","['ఆయన/ఆయ\u200cన/ఆయనకు/ఆయ\u200cన\u200cకు', 'అతని', 'తాను/తన/త\u200cన']",తాను/తన/త‌న
his,"Because, as Chris has said in his songs.","ఎందుకంటే, క్రిస్ తన గీతాలలో చెప్పినట్లు","['ఆయన/ఆయ\u200cన/ఆయనకు/ఆయ\u200cన\u200cకు', 'అతని', 'తాను/తన/త\u200cన']",తాను/తన/త‌న
now,"Now, let's go once more.","ఇప్పుడు, యొక్క ఒకసారి మరింత వీడలేదు.","['ఇప్పుడు', 'ప్రస్తుతం/ప్ర\u200cస్తుతం']",ఇప్పుడు
now,"Now, listen, you can do this.","ఇప్పుడు, మీరు చేయవచ్చు, వినండి.","['ఇప్పుడు', 'ప్రస్తుతం/ప్ర\u200cస్తుతం']",ఇప్పుడు
now,Transmitting coordinates now.,ప్రసారం ఇప్పుడు సమన్వయ.,"['ఇప్పుడు', 'ప్రస్తుతం/ప్ర\u200cస్తుతం']",ఇప్పుడు
